equipo,rival,goles_favor,goles_contra,fecha,competicion
Jordania,Irak,1,0,2024-12-12,Copa Árabe FIFA
Jordania,Arabia Saudita,1,0,2024-12-15,Copa Árabe FIFA
Jordania,Marruecos,2,3,2024-12-18,Copa Árabe FIFA
Jordania,Costa Rica,2,2,2026-03-27,Amistoso Internacional
Jordania,Nigeria,2,2,2026-03-31,Amistoso Internacional
Jordania,Suiza,1,4,2026-05-31,Amistoso Internacional
Jordania,Colombia,0,2,2026-06-07,Amistoso Internacional
República del Congo,Sudán,1,1,2024-08-05,African Nations Championship
República del Congo,Senegal,1,1,2024-08-12,African Nations Championship
República del Congo,Nigeria,0,2,2024-08-19,African Nations Championship
República del Congo,Tanzania,1,1,2025-09-05,Eliminatorias Africanas
República del Congo,Niger,1,3,2025-10-08,Eliminatorias Africanas
República del Congo,Marruecos,0,1,2025-10-14,Eliminatorias Africanas
Croacia,Islas Feroe,1,0,2025-09-05,Eliminatorias UEFA
Croacia,Montenegro,4,0,2025-09-08,Eliminatorias UEFA
Croacia,Rep. Checa,0,0,2025-10-09,Eliminatorias UEFA
Croacia,Gibraltar,3,0,2025-10-12,Eliminatorias UEFA
Croacia,Islas Feroe,3,1,2025-11-14,Eliminatorias UEFA
Croacia,Montenegro,3,2,2025-11-17,Eliminatorias UEFA
Croacia,Colombia,2,1,2026-03-26,Amistoso Internacional
Croacia,Brasil,1,3,2026-03-31,Amistoso Internacional
Croacia,Bélgica,0,2,2026-06-02,Amistoso Internacional
Croacia,Eslovenia,2,1,2026-06-07,Amistoso Internacional
Ghana,Chad,1,1,2025-09-04,Eliminatorias Africanas
Ghana,Mali,1,0,2025-09-08,Eliminatorias Africanas
Ghana,Rep. Centroafricana,5,0,2025-10-08,Eliminatorias Africanas
Ghana,Comoros,1,0,2025-10-12,Eliminatorias Africanas
Ghana,Corea del Sur,0,1,2024-11-19,Amistoso Internacional
Ghana,Sudáfrica,0,1,2024-12-16,Amistoso Internacional
Ghana,Austria,1,5,2026-03-27,Amistoso Internacional
Ghana,Alemania,1,2,2026-03-30,Amistoso Internacional
Ghana,México,0,2,2026-05-22,Amistoso Internacional
Ghana,Gales,1,1,2026-06-02,Amistoso Internacional
Ghana,Japón,0,2,2025-11-14,Amistoso Internacional
Panamá,Guatemala,1,1,2025-09-08,CONCACAF Eliminatorias
Panamá,El Salvador,1,0,2025-10-10,CONCACAF Eliminatorias
Panamá,Surinam,1,1,2025-10-14,CONCACAF Eliminatorias
Panamá,Guatemala,3,2,2025-11-13,CONCACAF Eliminatorias
Panamá,El Salvador,3,0,2025-11-18,CONCACAF Eliminatorias
Panamá,Bolivia,1,1,2026-01-18,Amistoso Internacional
Panamá,México,0,1,2026-01-22,Amistoso Internacional
Panamá,Sudáfrica,1,1,2026-03-27,Amistoso Internacional
Panamá,Sudáfrica,2,1,2026-03-31,Amistoso Internacional
Panamá,Brasil,2,6,2026-05-31,Amistoso Internacional
Panamá,Rep. Dominicana,4,2,2026-06-03,Amistoso Internacional
Panamá,Bosnia Herzegovina,1,1,2026-06-06,Amistoso Internacional
